name	age	hometown	headshot
Tom Segura	39	Cincinnati	http://flapperscomedy.com/med/tomseguaheadshot.jpg
Mitch Hedberg	37	St. Paul	https://upload.wikimedia.org/wikipedia/en/d/d5/Mitch_Hedberg.jpg
Dave Chappelle	45	Washington DC	https://upload.wikimedia.org/wikipedia/commons/2/23/Dave_Chappelle_%2842791297960%29_%28cropped%29.jpg
Chris D'Elia	38	Montclair	https://upload.wikimedia.org/wikipedia/commons/4/4b/Chris_D%27Elia.jpg
Hannibal Buress	36	Chicago	https://upload.wikimedia.org/wikipedia/commons/2/27/7.29.12HannibalBuressByEzmosis.jpg
Ali Wong	36	San Francisco	https://res.cloudinary.com/allamerican/image/fetch/t_face_s270/https://speakerdata2.s3.amazonaws.com/photo/image/874157/152215a.jpg
Chelsea Peretti	41	Contra Costa County	https://upload.wikimedia.org/wikipedia/commons/9/9f/Chelsea_Peretti_at_Meltdown.jpg
Bobby Lee	47	San Diego	https://pbs.twimg.com/profile_images/989701284327444482/SRtL5DTO_400x400.jpg
Joey Diaz	56	Havana	http://voodoocomedy.com/wp-content/uploads/2015/03/joey-diaz.jpg
Bert Kreischer	46	Tampa	https://upload.wikimedia.org/wikipedia/commons/c/ce/Bert_Kreischer_in_2012.jpg
Brian Posehn	52	Sacramento	https://upload.wikimedia.org/wikipedia/commons/f/fa/Brian_Posehn_1.JPG
Gary Gulman	48	Peabody	https://upload.wikimedia.org/wikipedia/commons/5/51/Comics_Come_Home_2013_%28cropped%29.jpg
Bill Burr	50	Canton	https://upload.wikimedia.org/wikipedia/commons/a/ad/Bill_Burr_by_Gage_Skidmore.jpg
John Mulaney	36	Chicago	https://upload.wikimedia.org/wikipedia/commons/9/9c/John_Mulaney_at_PaleyFest_2014.jpg
Jim Jefferies	42	Sydney	https://upload.wikimedia.org/wikipedia/commons/e/e3/Jim_Jeffries.jpg
Iliza Shlesinger	36	New York	https://upload.wikimedia.org/wikipedia/commons/8/81/Iliza_Shlesinger.jpg
