comedian	title	runtime	thumbnail
Tom Segura	Tom Segura: Disgraceful	71	https://m.media-amazon.com/images/M/MV5BMGUyNTBiZjktMjk5Ni00Yzk3LTlkZTUtY2FiOTJiOGRhZWY3XkEyXkFqcGdeQXVyMTk2ODU0OTM@._V1_.jpg
Tom Segura	Tom Segura: Mostly Stories	73	https://m.media-amazon.com/images/M/MV5BZWE2Nzc5N2YtOWM0OS00ZWVmLThhOTctNjNlNGI0NTQzMTU5XkEyXkFqcGdeQXVyMzAzODY0NzE@._V1_.jpg
Mitch Hedberg	Comedy Central: Mitch Hedberg	23	https://m.media-amazon.com/images/M/MV5BMTQ0NDAyNDg5OV5BMl5BanBnXkFtZTgwMDUxNjEyMjE@._V1_.jpg
Mitch Hedberg	Just for Laughs	30	https://m.media-amazon.com/images/M/MV5BMTc4NzI1NzY4N15BMl5BanBnXkFtZTcwMjUwNDY3Mg@@._V1_.jpg
Dave Chappelle	Dave Chappelle: Equanimity	60	https://m.media-amazon.com/images/M/MV5BODJkMTAxNmYtZDg4OS00NzA2LTlmZTUtMDc2MjIwMzE4ZDMxXkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_.jpg
Dave Chappelle	Dave Chappelle: The Bird Revelation	49	https://m.media-amazon.com/images/M/MV5BNGYzOTE0YzEtMjc5NC00MTg2LTk2MDAtMzJlMjM1NTU1MjcwXkEyXkFqcGdeQXVyMTk2ODU0OTM@._V1_.jpg
Chris D'Elia	Chris D'Elia: Man on Fire	65	https://m.media-amazon.com/images/M/MV5BMDE3Y2RkZjMtNGYwNC00NjI5LWJkNzUtNjZlYmYyMmFhMTJlXkEyXkFqcGdeQXVyMTk2ODU0OTM@._V1_.jpg
Chris D'Elia	Gotham Comedy Live	60	https://m.media-amazon.com/images/M/MV5BMzE5OWUzZGUtOTE1Yi00OGI0LWI2M2ItYTI0MDQ5ZjhmNDAzXkEyXkFqcGdeQXVyNDgwNjI4Nw@@._V1_SY1000_CR0,0,1734,1000_AL_.jpg
Hannibal Buress	Inside Jokes	50	https://m.media-amazon.com/images/M/MV5BNmQ2MTI1M2YtNGFlNS00NDdlLTlmMGEtOGQ2ZWVhNTViMDhhXkEyXkFqcGdeQXVyMjc0OTQ4MzU@._V1_SY1000_CR0,0,678,1000_AL_.jpg
Hannibal Buress	Hannibal Buress: Comedy Camisado	83	https://m.media-amazon.com/images/M/MV5BNDQ0ZDA3NTQtNzI3NC00Y2NiLWI0ZTctN2RjNDYxNWEyODY4XkEyXkFqcGdeQXVyNTQwMDk4NDM@._V1_SY1000_CR0,0,674,1000_AL_.jpg
Ali Wong	Ali Wong: Hard Knock Wife	64	https://m.media-amazon.com/images/M/MV5BMWVkZDNjZTMtMTY0Yi00OGQ0LTliMDEtMWMxYzljYzZlYTY3XkEyXkFqcGdeQXVyMTEzNjA2NzM@._V1_.jpg
Chelsea Peretti	Chelsea Peretti: One of the Greats	74	https://m.media-amazon.com/images/M/MV5BMjE2NTc3MzEzOV5BMl5BanBnXkFtZTgwNzY1NzA0NDE@._V1_.jpg
Chelsea Peretti	Tubbin' with Tash: Chelsea Peretti & Reggie Watts 	30	https://m.media-amazon.com/images/M/MV5BYTNlM2FkN2YtYzk2MC00YjdjLTg0ZWQtMjY0NWI1NjQxNjU5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg
